,naselje,rodilnik,mestnik,lat,lng,region_name,region_id
3294,Petane,Petana,Petanu,45.8,15.1667,Jugovzhodna Slovenija,SI037
3295,Petanjci,Petanjciv,Petanjcih,46.6558,16.0933,Pomurska,SI031
3297,Petelinje,Petelinja,Petelinju,45.6833,14.2,Primorsko-notranjska,SI038
3298,Petelinjek,Petelinjeka,Petelinjeku,45.8,15.1667,Jugovzhodna Slovenija,SI037
3299,Petelinjek Pri Ločah,Petelinjeka Priv Ločaha,Petelinjeku Prih Ločahu,46.3383,15.4233,Savinjska,SI034
3300,Petišovci,Petišovciv,Petišovcih,46.5631,16.4519,Pomurska,SI031
3301,Petkovec,Petkovca,Petkovcu,45.9167,14.2297,Osrednjeslovenska,SI041
3302,Petrina,Petrine,Petrini,45.5088,14.91,Jugovzhodna Slovenija,SI037
3303,Petrinci,Petrinciv,Petrincih,45.7616,14.6363,Jugovzhodna Slovenija,SI037
3305,Petrova Vas,Petrove Vasa,Petrovi Vasu,45.5711,15.1889,Jugovzhodna Slovenija,SI037
3306,Petrovče,Petrovča,Petrovču,46.251,15.1639,Savinjska,SI034
3307,Petrovo Brdo,Petrova Brda,Petrovu Brdu,46.1857,13.7352,Goriška,SI043
3308,Petrušnja Vas,Petrušnje Vasa,Petrušnji Vasu,45.9374,14.8029,Osrednjeslovenska,SI041
3309,Pevno,Pevna,Pevnu,46.1672,14.303,Gorenjska,SI042
3310,Pijana Gora,Pijane Gore,Pijani Gori,45.95,15.4833,Posavska,SI036
3311,Pijava Gorica,Pijave Gorice,Pijavi Gorici,45.9836,14.5761,Osrednjeslovenska,SI041
3312,Pijavice,Pijavica,Pijavicu,46.0092,15.3041,Posavska,SI036
3314,Pikovnik,Pikovnika,Pikovniku,45.7964,14.3581,Primorsko-notranjska,SI038
3315,Pilštanj,Pilštanja,Pilštanju,46.074,15.559,Savinjska,SI034
3316,Pince,Pinca,Pincu,46.5631,16.4519,Pomurska,SI031
3317,Pince-Marof,Pinca-Marofa,Pincu-Marofu,46.5631,16.4519,Pomurska,SI031
3319,Pirče,Pirča,Pirču,45.5088,14.91,Jugovzhodna Slovenija,SI037
3320,Pirešica,Pirešice,Pirešici,46.3625,15.1144,Savinjska,SI034
3321,Pirmane,Pirmana,Pirmanu,45.7964,14.3581,Primorsko-notranjska,SI038
3322,Piršenbreg,Piršenbrega,Piršenbregu,45.9048,15.5922,Posavska,SI036
3323,Pirševo,Pirševa,Pirševu,46.2257,14.612,Osrednjeslovenska,SI041
3324,Pisari,Pisariv,Pisarih,45.55,13.7333,Obalno-kraška,SI044
3325,Pišece,Pišeca,Pišecu,45.9048,15.5922,Posavska,SI036
3326,Pivka,Pivke,Pivki,45.6833,14.2,Primorsko-notranjska,SI038
3328,Placar,Placara,Placaru,46.4923,15.8801,Podravska,SI032
3329,Placerovci,Placerovciv,Placerovcih,46.4122,16.0131,Podravska,SI032
3332,Planica,Planice,Planici,46.2333,14.3667,Gorenjska,SI042
3334,Planina,Planine,Planini,45.8861,13.9097,Goriška,SI043
3335,Planina,Planine,Planini,45.9374,14.8029,Osrednjeslovenska,SI041
3336,Planina,Planine,Planini,45.5088,14.91,Jugovzhodna Slovenija,SI037
3337,Planina,Planine,Planini,46.3333,14.8333,Savinjska,SI034
