naselje;občina
Ceste;Rogaška Slatina
Cetore;Izola
Cezanjevci;Ljutomer
Cezlak;Slovenska Bistrica
Ciglence;Duplek
Cigonca;Slovenska Bistrica
Cikava;Grosuplje
Cikava;Mokronog-Trebelno
Ciringa;Kungota
Cirje;Krško
Cirknica;Šentilj
Cirkovce;Kidričevo
Cirkulane;Cirkulane
Cirkuše;Litija
Cirkuše V Tuhinju;Kamnik
Cirnik;Brežice
Cirnik;Mirna
Cmereška Gorca;Podčetrtek
Cogetinci;Cerkvenjak
Col;Ajdovščina
Coljava;Komen
Colnarji;Kostel
Crngrob;Škofja Loka
Cuber;Ljutomer
Cundrovec;Brežice
Cunkovci;Gorišnica
Curnovec;Brežice
Curnovec;Laško
Cven;Ljutomer
Cvetkovci;Ormož
Cvišlerji;Kočevje
Čabrače;Gorenja Vas-Poljane
Čača Vas;Rogaška Slatina
Čadovlje;Kranj
Čadovlje Pri Tržiču;Tržič
Čadram;Oplotnica
Čadramska Vas;Poljčane
Čadraže;Šentjernej
Čadrg;Tolmin
Čagona;Cerkvenjak
Čagošče;Ivančna Gorica
Čakova;Sveti Jurij Ob Ščavnici
Čanje;Sevnica
Čateška Gora;Litija
Čatež;Trebnje
Čatež Ob Savi;Brežice
Čebine;Trbovlje
Čeče – Del;Hrastnik
Čeče – Del;Trbovlje
Čedem;Brežice
Čehovini;Komen
Čekovnik;Idrija
Čelevec;Šmarješke Toplice
Čelje;Ilirska Bistrica
Čelovnik;Sevnica
Čemše;Mirna Peč
Čemšenik;Zagorje Ob Savi
Čentiba;Lendava
Čentur;Koper
Čepinci;Šalovci
Čeplez;Cerkno
Čeplje;Kočevje
Čeplje;Litija
Čeplje;Lukovica
Čeplje;Vransko
Čepno;Pivka
Čepovan;Nova Gorica
Čepulje;Kranj
Čermožiše;Žetale
Černelavci;Murska Sobota
Češča Vas;Novo Mesto
Češenik;Domžale
Češnjevek;Cerklje Na Gorenjskem
Češnjevek;Trebnje
Češnjica;Ljubljana
Češnjica Pri Kropi;Radovljica
Češnjice;Lukovica
Češnjice;Sevnica
Češnjice Pri Moravčah;Moravče
Češnjice Pri Trebelnem;Mokronog-Trebelno
Češnjice Pri Zagradcu;Ivančna Gorica
Češnjice V Tuhinju;Kamnik
Četena Ravan;Gorenja Vas-Poljane
Četež Pri Strugah;Dobrepolje
Četež Pri Turjaku;Velike Lašče
Čezsoča;Bovec
Čežarji;Koper
Čiginj;Tolmin
Čikečka Vas;Moravske Toplice
Čilpah;Mokronog-Trebelno
Čimerno;Radeče
Činžat;Lovrenc Na Pohorju
Čipnje;Komen
Čisti Breg;Šentjernej
Čohovo;Cerknica
Čolnica;Kanal
Čolnišče;Zagorje Ob Savi
Črenšovci;Črenšovci
Čreškova;Vojnik
Črešnjevci;Gornja Radgona
Črešnjevec;Slovenska Bistrica
Črešnjevec;Vojnik
Črešnjevec Ob Bistrici;Bistrica Ob Sotli
Črešnjevec Ob Dravi;Selnica Ob Dravi
Črešnjevec Pri Dragatušu;Črnomelj
Črešnjevec Pri Oštrcu;Kostanjevica Na Krki
Črešnjevec Pri Semiču;Semič
Črešnjice;Novo Mesto
Črešnjice;Vojnik
Črešnjice Nad Pijavškim;Krško
Črešnjice Pri Cerkljah;Brežice
Črešnova;Zreče
Čreta;Hoče-Slivnica
Čreta;Vransko
Čreta Pri Kokarjah;Nazarje
Čretež Pri Krškem;Krško
Čretvež;Zreče
Črmlja;Trnovska Vas
Črmljenšak;Lenart
Črmošnjice;Semič
Črmošnjice Pri Stopičah;Novo Mesto
Črna Na Koroškem;Črna Na Koroškem
Črna Pri Kamniku;Kamnik
Črna Vas;Ljubljana
Črnci;Apače
Črnec;Ribnica
Črneča Vas;Kostanjevica Na Krki
Črneče;Dravograd
Črneška Gora;Dravograd
Črni Kal;Koper
Črni Potok;Šmartno Pri Litiji
Črni Potok Pri Dragi;Loški Potok
Črni Potok Pri Kočevju;Kočevje
Črni Potok Pri Vel. Laščah;Ribnica
Črni Vrh;Dobrova-Polhov Gradec
Črni Vrh;Idrija
Črni Vrh;Tabor
Črni Vrh V Tuhinju;Kamnik
Črniče;Ajdovščina
Črnivec;Radovljica
Črnolica;Šentjur
Črnomelj;Črnomelj
Črnotiče;Koper
Črnova;Velenje
Čučja Mlaka;Škocjan
Čudno Selo;Črnomelj
Čurile;Metlika
Čušperk;Grosuplje
Čužnja Vas;Mokronog-Trebelno
Daber;Tolmin
Dalce;Krško
Daljni Vrh;Novo Mesto
Dalnje Njive;Črnomelj
Damelj;Črnomelj
Dane;Loška Dolina
Dane;Ribnica
Dane Pri Divači;Divača
Dane Pri Sežani;Sežana
Dankovci;Puconci
Davča;Železniki
Debeče;Ivančna Gorica
Debenec;Mirna
Debeni;Gorenja Vas-Poljane
Debro;Laško
Dečina;Črnomelj
Dečja Vas;Trebnje
Dečja Vas Pri Zagradcu;Ivančna Gorica
Dečno Selo;Brežice
Dedna Gora;Sevnica
Dedni Dol;Ivančna Gorica
Dedni Vrh;Krško
Dedni Vrh Pri Vojniku;Vojnik
Dednik;Velike Lašče
Dednja Vas;Brežice
Dekani;Koper
Dekmanca;Bistrica Ob Sotli
Delač;Kostel
Delnice;Gorenja Vas-Poljane
Depala Vas;Domžale
