naselje;občina
Kal-Koritnica;Bovec
Kalobje;Šentjur
Kalše;Slovenska Bistrica
Kambreško;Kanal
Kamenca Nad Ložicami;Kanal
Kamence;Brežice
Kamence;Rogaška Slatina
Kamenče;Braslovče
Kamenica;Metlika
Kamenica;Sevnica
Kamenik;Šmarje Pri Jelšah
Kameno;Šentjur
Kamenško;Sevnica
Kamna Gora;Slovenske Konjice
Kamna Gorca;Rogaška Slatina
Kamna Gorica;Radovljica
Kamni Potok;Trebnje
Kamni Vrh;Litija
Kamni Vrh Pri Ambrusu;Ivančna Gorica
Kamni Vrh Pri Primskovem;Šmartno Pri Litiji
Kamnica;Dol Pri Ljubljani
Kamnica;Maribor
Kamnik;Kamnik
Kamnik Pod Krimom;Brezovica
Kamniška Bistrica;Kamnik
Kamnje;Ajdovščina
Kamnje;Bohinj
Kamnje;Šentrupert
Kamno;Tolmin
Kamno Brdo;Ivančna Gorica
Kamovci;Lendava
Kampel;Koper
Kanal;Kanal
Kanalski Lom;Tolmin
Kanalski Vrh;Kanal
Kančevci;Moravske Toplice
Kandrše – Del;Litija
Kandrše – Del;Zagorje Ob Savi
Kaniža;Šentilj
Kanižarica;Črnomelj
Kanji Dol;Idrija
Kanjuce;Štore
Kapca;Lendava
Kapele;Brežice
Kapelski Vrh;Radenci
Kapla;Tabor
Kaplanovo;Velike Lašče
Kaplja Vas;Prebold
Kaplja Vas;Sevnica
Kapljišče;Metlika
Kaptol;Kostel
Karlče;Kostanjevica Na Krki
Karli;Koper
Karlovica;Velike Lašče
Kasaze;Žalec
Kastelec;Koper
Katarija;Moravče
Kavče;Velenje
Kazlje;Sežana
Kebelj;Slovenska Bistrica
Kerinov Grm;Krško
Kicar;Ptuj
Kidričevo;Kidričevo
Kilovče;Ilirska Bistrica
Kisovec;Zagorje Ob Savi
Kitni Vrh;Ivančna Gorica
Klada;Škofljica
Kladje;Gorenja Vas-Poljane
Kladje;Laško
Kladje Nad Blanco;Sevnica
Kladje Pri Krmelju;Sevnica
Kladnart;Vojnik
Klake;Kozje
Klanc;Dobrna
Klance;Loška Dolina
Klanec;Komenda
Klanec Pri Gabrovki;Litija
Klanec Pri Komnu;Komen
Klanec Pri Kozini;Hrpelje-Kozina
Klavže;Tolmin
Kleč;Kočevje
Kleče Pri Dolu;Dol Pri Ljubljani
Klečet;Žužemberk
Klek;Trbovlje
Klemenčevo;Kamnik
Klenik;Litija
Klenik;Pivka
Klenovik;Škocjan
Klenovo;Laško
Klinja Vas;Kočevje
Ključarovci Pri Ljutomeru;Križevci
Ključevica;Trbovlje
Klokočovnik;Slovenske Konjice
Klopce;Dol Pri Ljubljani
Klopce;Slovenska Bistrica
Klopce;Žužemberk
Klošter;Metlika
Knape;Škofja Loka
Knej;Velike Lašče
Kneške Ravne;Tolmin
Knezdol;Trbovlje
Kneža;Tolmin
Knežak;Ilirska Bistrica
Knežina;Črnomelj
Knežja Lipa;Kočevje
Knežja Njiva;Loška Dolina
Knežja Vas;Trebnje
Kobarid;Kobarid
Kobdilj;Komen
Kobile;Krško
Kobilje;Kobilje
Kobilščak;Radenci
Kobjeglava;Komen
Koblarji;Kočevje
Koble;Slovenske Konjice
Koblek;Vojnik
Koboli;Komen
Kocjan;Radenci
Kočarija;Kostanjevica Na Krki
Kočarji;Kočevje
Koče;Kočevje
Koče;Postojna
Kočevje;Kočevje
Kočevska Reka;Kočevje
Kočevske Poljane;Dolenjske Toplice
Kočice;Žetale
Kočki Vrh;Sveti Jurij Ob Ščavnici
Kočna;Jesenice
Kočno;Krško
Kočno Ob Ložnici;Slovenska Bistrica
Kočno Pri Polskavi;Slovenska Bistrica
Kodreti;Komen
Kog;Ormož
Koglo;Šmarješke Toplice
Kojsko;Brda
Kokarje;Nazarje
Kokolajnščak;Sveti Jurij Ob Ščavnici
Kokoriči;Križevci
Kokošnje;Domžale
Kokra;Preddvor
Kokrica;Kranj
Kolačno;Slovenske Konjice
Kolenča Vas;Dobrepolje
Količevo;Domžale
Kolk;Zagorje Ob Savi
Kolomban;Koper
Kolovec;Domžale
Kolovrat;Zagorje Ob Savi
Koludrje;Sevnica
Komanija;Dobrova-Polhov Gradec
Komarna Vas;Semič
Komarnica;Cerkvenjak
Komen;Komen
Komenda;Komenda
Komendska Dobrava;Komenda
Komolec;Kočevje
Kompole;Štore
Kompolje;Dobrepolje
Kompolje;Lukovica
Kompolje;Sevnica
Konc;Laško
Konca Vas;Kočevje
Konec;Novo Mesto
Konj;Litija
Konjiška Vas;Slovenske Konjice
Konjski Vrh;Luče
Konjsko;Sevnica
Konjsko;Vojnik
Konjšica – Del;Litija
Konjšica – Del;Zagorje Ob Savi
Konuško;Šmarje Pri Jelšah
Kopačnica;Gorenja Vas-Poljane
Koper;Koper
Kopivnik;Rače-Fram
Kopriva;Razkrižje
Kopriva;Sežana
Koprivna;Črna Na Koroškem
Koprivnica;Krško
Koprivnik;Kočevje
Koprivnik;Kostanjevica Na Krki
Koprivnik;Žiri
Koprivnik V Bohinju;Bohinj
Koračice;Sveti Tomaž
Korenitka;Trebnje
Korenjak;Zavrč
Koreno;Lukovica
Koreno Nad Horjulom;Horjul
Koretno;Šmarje Pri Jelšah
Korita;Idrija
Korita;Trebnje
Korita Na Krasu;Miren-Kostanjevica
Koritnica;Krško
Koritnica;Tolmin
Koritnice;Ilirska Bistrica
Koritno;Bled
Koritno;Brežice
Koritno;Majšperk
Koritno;Oplotnica
Koromači-Boškini;Koper
Korošče;Cerknica
Koroška Bela;Jesenice
Koroška Vas;Novo Mesto
Koroška Vas Na Pohorju;Zreče
Koroški Selovec;Ravne Na Koroškem
Korovci;Cankova
Korpe;Lukovica
Korplje;Slovenska Bistrica
Korpule;Šmarje Pri Jelšah
Korte;Izola
Kortine;Koper
Koseč;Kobarid
Koseze;Ilirska Bistrica
Koseze;Vodice
Kosovelje;Sežana
Kostanj;Kamnik
Kostanjek;Krško
Kostanjevec;Slovenska Bistrica
Kostanjevica;Šentrupert
Kostanjevica Na Krasu;Miren-Kostanjevica
Kostanjevica Na Krki;Kostanjevica Na Krki
Kostel;Kostel
Kostrevnica;Zagorje Ob Savi
Kostrivnica;Šentjur
Košarovci;Gornji Petrovci
Koščake;Cerknica
Košiše;Kamnik
Koške Poljane;Šmartno Pri Litiji
Košnica;Šentjur
Košnica Pri Celju;Celje
Koštabona;Koper
Kot;Ig
Kot;Lendava
Kot Na Pohorju;Slovenska Bistrica
Kot Ob Kolpi;Črnomelj
Kot Pri Damlju;Črnomelj
Kot Pri Prevaljah;Prevalje
Kot Pri Rakitnici;Ribnica
Kot Pri Ribnici;Ribnica
Kot Pri Veliki Slevici;Velike Lašče
Kotel;Sodražica
Koti;Novo Mesto
Kotlje;Ravne Na Koroškem
Kotredež;Zagorje Ob Savi
Kovača Vas;Črnomelj
Kovača Vas;Slovenska Bistrica
Kovačevci;Grad
Kovačji Grad;Črnomelj
Kovaški Vrh;Oplotnica
Kovčice;Hrpelje-Kozina
Kovk;Ajdovščina
Kovk;Hrastnik
Kovor;Tržič
Kovski Vrh;Škofja Loka
Kozana;Brda
Kozarišče;Loška Dolina
Kozarno;Brda
Kozaršče;Tolmin
Kozina;Hrpelje-Kozina
Kozjak;Mislinja
Kozjak Nad Pesnico;Kungota
Kozjak Pri Ceršaku;Šentilj
Kozjane;Divača
Kozje;Kozje
Kozji Vrh;Podvelka
Kozji Vrh Nad Dravogradom;Dravograd
Kozloviči;Koper
Kozmerice;Tolmin
Kozminci;Podlehnik
Kožbana;Brda
Kožljek;Cerknica
Kožljevec;Grosuplje
Kožmani;Ajdovščina
Kraberk;Slovenske Konjice
Kračali;Sodražica
Krajna;Tišina
Krajna Brda;Sevnica
Krajna Vas;Sežana
Krajnčica;Šentjur
Krajno Brdo;Lukovica
Kraljevci;Sveti Jurij Ob Ščavnici
Kralji;Kočevje
Kramarovci;Rogašovci
Kramplje;Bloke
Kranj;Kranj
Kranjče;Cerknica
Kranjska Gora;Kranjska Gora
Krapje;Ljutomer
Krasinec;Metlika
Krasna;Poljčane
Krasno;Brda
Krašce;Moravče
Krašči;Cankova
Kraška Vas;Brežice
Krašnja;Lukovica
Krašnji Vrh;Metlika
Krčevina;Ormož
Krčevina Pri Vurbergu;Ptuj
Kred;Kobarid
Kregarjevo;Kamnik
Kregolišče;Sežana
Kremberk;Sveta Ana
Kremen;Krško
Kremenca;Cerknica
Kremenica;Ig
Kremenik;Gorenja Vas-Poljane
Kreplje;Sežana
Kresnica;Šentilj
Kresnice;Litija
Kresniške Poljane;Litija
Kresniški Vrh;Litija
Kristan Vrh;Šmarje Pri Jelšah
Kriška Reber;Trebnje
Kriška Vas;Ivančna Gorica
Krištanci;Ljutomer
Krištandol;Hrastnik
Krivčevo;Kamnik
Krivi Vrh;Sveta Ana
Krivica;Šentjur
Krivo Brdo;Gorenja Vas-Poljane
Krivoglavice;Metlika
Križ;Komenda
Križ;Sevnica
Križ;Sežana
Križ;Trebnje
Križan Vrh;Bistrica Ob Sotli
Križate;Moravče
Križe;Brežice
Križe;Novo Mesto
Križe;Tržič
Križeča Vas;Poljčane
Križevci;Gornji Petrovci
Križevci Pri Ljutomeru;Križevci
Križevec;Zreče
Križevska Vas;Dol Pri Ljubljani
Križevska Vas;Metlika
Križišče;Sevnica
Križmani;Osilnica
Križna Gora;Ajdovščina
Križna Gora;Škofja Loka
Križni Vrh;Mokronog-Trebelno
Križni Vrh;Slovenska Bistrica
Krka;Ivančna Gorica
Krkavče;Koper
Krkovo Nad Faro;Kostel
Krkovo Pri Karlovici;Velike Lašče
Krmačina;Metlika
Krmelj;Sevnica
Krn;Kobarid
Krnci;Moravske Toplice
Krnče;Ribnica
Krnica;Gorje
Krnica;Koper
Krnica;Luče
Krnice;Hrastnik
Krnice Pri Novakih;Gorenja Vas-Poljane
Krog;Murska Sobota
Kromberk;Nova Gorica
Kropa;Radovljica
Krplivnik;Hodoš
Krsinji Vrh;Sevnica
Krstenica;Kanal
Kršič;Kamnik
Krška Vas;Brežice
Krška Vas;Ivančna Gorica
Krško;Krško
Krtina;Domžale
Krtina;Trebnje
Krtince;Šmarje Pri Jelšah
Krtinovica;Sežana
Krupa;Semič
Kruplivnik;Grad
Krušče;Cerknica
Krušni Vrh;Trebnje
Krvava Peč;Velike Lašče
Krvavčji Vrh;Semič
Krvavi Potok;Hrpelje-Kozina
Kržeti;Sodražica
Kržišče;Cerknica
Kržišče;Krško
Kržišče Pri Čatežu;Litija
Kubed;Koper
Kuhlarji;Kočevje
Kuk;Tolmin
Kukava;Juršinci
Kukeč;Gornji Petrovci
Kukenberk;Trebnje
Kukmaka;Velike Lašče
Kumen;Lovrenc Na Pohorju
Kumpolje;Litija
Kungota Pri Ptuju;Kidričevo
Kunova;Gornja Radgona
Kunšperk;Bistrica Ob Sotli
Kupčinji Vrh;Majšperk
Kupetinci;Sveti Jurij Ob Ščavnici
Kupljenik;Bled
Kupšinci;Murska Sobota
Kuretno;Laško
Kuršinci;Ljutomer
Kušernik;Pesnica
Kuštanovci;Puconci
Kuteževo;Ilirska Bistrica
Kutinci;Sveti Jurij Ob Ščavnici
Kuzarjev Kal;Novo Mesto
Kuzma;Kuzma
Kuželič;Kostel
Kuželj;Kostel
Kuželjevec;Ivančna Gorica
Kvasica;Črnomelj
Labinje;Cerkno
Labor;Koper
Lačaves;Ormož
Lačja Vas;Nazarje
Lačna Gora;Oplotnica
Ladja;Medvode
Ladra;Kobarid
Lahomno;Laško
Lahomšek;Laško
Lahonci;Ormož
Lahov Graben;Laško
Lahovče;Cerklje Na Gorenjskem
Lahovna;Celje
Lahovo;Bloke
Lajše;Gorenja Vas-Poljane
Lajše;Železniki
Lancova Vas;Videm
Lancovo;Radovljica
Landek;Vojnik
Landol;Postojna
Lanišče;Škofljica
Laniše;Gorenja Vas-Poljane
Laniše;Kamnik
Laporje;Slovenska Bistrica
Laporje;Velike Lašče
Laseno;Kamnik
Lasigovci;Dornava
Lastnič;Podčetrtek
Lastomerci;Gornja Radgona
Lašče;Borovnica
Lašče;Žužemberk
Laše;Šmarje Pri Jelšah
Laška Vas;Laško
Laška Vas Pri Štorah;Štore
Laški Rovt;Bohinj
Laško;Laško
Latkova Vas;Prebold
Lavrica;Škofljica
Lavrovec;Logatec
Lavtarski Vrh;Kranj
Laze;Brežice
Laze;Gorenja Vas-Poljane
Laze;Logatec
Laze;Novo Mesto
Laze;Velenje
Laze;Velike Lašče
Laze Nad Krko;Ivančna Gorica
Laze Pri Borovnici;Borovnica
Laze Pri Boštanju;Sevnica
Laze Pri Dolskem;Dol Pri Ljubljani
Laze Pri Domžalah;Domžale
Laze Pri Dramljah;Šentjur
Laze Pri Gobniku;Litija
Laze Pri Gorenjem Jezeru;Cerknica
Laze Pri Kostelu;Kostel
Laze Pri Oneku;Kočevje
Laze Pri Predgradu;Kočevje
Laze Pri Vačah;Litija
Laze V Tuhinju;Kamnik
Lazec;Cerkno
Lazec;Loški Potok
Lazina;Žužemberk
Laziše;Laško
Lazna;Nova Gorica
Laznica;Cerkno
Laznica;Maribor
Laže;Divača
Lažiše;Dobje
Ledeča Vas;Šentjernej
Ledina;Sevnica
Ledine;Idrija
Ledinek;Sveta Ana
Ledinica;Žiri
Ledinske Krnice;Idrija
Ledinsko Razpotje;Idrija
Legen;Slovenj Gradec
Lehen Na Pohorju;Podvelka
Lekmarje;Šmarje Pri Jelšah
Lemberg Pri Novi Cerkvi;Vojnik
Lemberg Pri Šmarju;Šmarje Pri Jelšah
Lemerje;Puconci
Lenart Pri Gornjem Gradu;Gornji Grad
Lenart V Slov. Goricah;Lenart
Lendava;Lendava
Lendavske Gorice;Lendava
Lepa Njiva;Mozirje
Lepena;Bovec
Lepence;Bohinj
Lepi Vrh;Bloke
Lesce;Radovljica
Lesično;Kozje
Leskovca;Laško
Leskovec;Celje
Leskovec;Ivančna Gorica
Leskovec;Novo Mesto
Leskovec;Slovenska Bistrica
Leskovec Pri Krškem;Krško
Leskovec V Podborštu;Sevnica
Leskovica;Gorenja Vas-Poljane
Leskovica Pri Šmartnem;Šmartno Pri Litiji
Lesno Brdo;Horjul
Lesno Brdo;Vrhnika
Lešane;Apače
Leščevje;Ivančna Gorica
Leše;Litija
Leše;Prevalje
Leše;Tržič
Lešje;Majšperk
Lešje;Vojnik
Lešnica;Novo Mesto
Lešnica;Ormož
Lešniški Vrh;Ormož
Lešnjake;Cerknica
Letenice;Kranj
Letuš;Braslovče
Levanjci;Destrnik
Levec;Žalec
Levič;Slovenska Bistrica
Levpa;Kanal
Levstiki;Ribnica
Libanja;Ormož
Libeliče;Dravograd
Libeliška Gora;Dravograd
Libelj;Krško
Liberga;Šmartno Pri Litiji
Libna;Krško
Liboje;Žalec
Libušnje;Kobarid
Ličenca;Slovenske Konjice
Lig;Kanal
Limbarska Gora;Moravče
Limbuš;Maribor
Limovce;Vransko
Lindek;Vojnik
Lipa;Beltinci
Lipa;Dobrepolje
Lipa;Lukovica
Lipa;Miren-Kostanjevica
Lipa;Zreče
Lipa Pri Frankolovem;Vojnik
Lipce;Jesenice
Lipe;Ljubljana
Lipica;Sežana
Lipica;Škofja Loka
Lipje;Velenje
Liplje;Kamnik
Liplje;Postojna
Lipni Dol;Laško
Lipnica;Radovljica
Lipnik;Trebnje
Lipoglav;Slovenske Konjice
Lipovci;Beltinci
Lipovec;Ribnica
Lipovec;Semič
Lipovec;Šmarje Pri Jelšah
Lipovec Pri Kostelu;Kostel
Lipovec Pri Škofji Vasi;Celje
Lipovšica;Sodražica
Lipsenj;Cerknica
Lisec;Tolmin
Lisec;Trebnje
Lisjaki;Komen
Litija;Litija
Litmerk;Ormož
Livek;Kobarid
Livold;Kočevje
Livške Ravne;Kobarid
Ljubečna;Celje
Ljubež V Lazih;Litija
Ljubgojna;Horjul
Ljubično;Poljčane
Ljubija;Mozirje
Ljubinj;Tolmin
Ljubljana;Ljubljana
Ljubnica;Vitanje
Ljubno;Radovljica
Ljubno Ob Savinji;Ljubno
Ljubstava;Videm
Ljutomer;Ljutomer
Lobček;Grosuplje
Lobnica;Ruše
Loče;Brežice
Loče;Celje
Loče;Slovenske Konjice
Ločica Ob Savinji;Polzela
Ločica Pri Vranskem;Vransko
Ločič;Trnovska Vas
Ločki Vrh;Benedikt
Ločki Vrh;Destrnik
Log;Kranjska Gora
Log;Lukovica
Log;Mokronog-Trebelno
Log;Rogatec
Log;Ruše
Log;Sevnica
Log Čezsoški;Bovec
Log Nad Škofjo Loko;Škofja Loka
Log Pod Mangartom;Bovec
Log Pri Brezovici;Log-Dragomer
Log Pri Mlinšah;Zagorje Ob Savi
Log Pri Polhovem Gradcu;Dobrova-Polhov Gradec
Log Pri Vrhovem;Radeče
Log Pri Žužemberku;Trebnje
Log V Bohinju;Bohinj
Logarji;Velike Lašče
Logarovci;Križevci
Logarska Dolina;Solčava
Logaršče;Tolmin
Logatec;Logatec
Logje;Kobarid
Lohača;Postojna
Loje;Tolmin
Loka;Koper
Loka;Starše
Loka;Šentjernej
Loka;Tržič
Loka Pri Dobrni;Dobrna
Loka Pri Framu;Rače-Fram
Loka Pri Mengšu;Mengeš
Loka Pri Zidanem Mostu;Sevnica
Loka Pri Žusmu;Šentjur
Lokanja Vas;Slovenska Bistrica
Lokarje;Šentjur
Lokavci;Gornja Radgona
Lokavec;Ajdovščina
Lokavec;Laško
Lokavec;Sveta Ana
Loke;Krško
Loke;Nova Gorica
Loke;Straža
Loke;Tabor
Loke Pri Mozirju;Mozirje
Loke Pri Planini;Šentjur
Loke Pri Zagorju;Zagorje Ob Savi
Loke V Tuhinju;Kamnik
Lokev;Sežana
Lokovec;Nova Gorica
Lokovica;Prevalje
Lokovica;Šoštanj
Lokovina;Dobrna
Lokrovec;Celje
Lokve;Črnomelj
Lokve;Krško
Lokve;Nova Gorica
Lokve Pri Dobrniču;Trebnje
Lokvica;Miren-Kostanjevica
Lom;Mežica
Lom Nad Volčo;Gorenja Vas-Poljane
Lom Pod Storžičem;Tržič
Lomanoše;Gornja Radgona
Lome;Idrija
Lomno;Krško
Lončarjev Dol;Sevnica
Lončarovci;Moravske Toplice
Lopaca;Šentjur
Lopar;Koper
Lopata;Celje
Lopata;Žužemberk
Lopatnik;Velenje
Lopatnik Pri Velenju;Velenje
Loperšice;Ormož
Lormanje;Lenart
Loška Gora;Radeče
Loška Gora Pri Zrečah;Zreče
Loška Vas;Dolenjske Toplice
Lovnik;Poljčane
Lovranovo;Bloke
Lovrenc Na Dravskem Polju;Kidričevo
Lovrenc Na Pohorju;Lovrenc Na Pohorju
Lovsko Brdo;Gorenja Vas-Poljane
Lozice;Vipava
Lož;Loška Dolina
Ložane;Pesnica
Lože;Laško
Lože;Vipava
Ložec;Osilnica
Ložice;Kanal
Ložina;Podlehnik
Ložnica;Makole
Ložnica;Velenje
Ložnica Pri Žalcu;Žalec
Lucija;Piran
Lucova;Gornji Petrovci
Lučarjev Kal;Ivančna Gorica
Luče;Grosuplje
Luče;Luče
Lučine;Gorenja Vas-Poljane
Ludranski Vrh;Črna Na Koroškem
Lukačevci;Moravske Toplice
Lukanja;Slovenska Bistrica
Lukavci;Križevci
Lukini;Koper
Lukovec;Komen
Lukovec;Litija
Lukovec;Sevnica
Lukovek;Trebnje
Lukovica Pri Brezovici;Log-Dragomer
Lukovica Pri Domžalah;Lukovica
Lunovec;Ormož
Lupinica;Šmartno Pri Litiji
Lušečka Vas;Poljčane
Lutrje;Šentjur
Lutrško Selo;Novo Mesto
Lutverci;Apače
Luža;Trebnje
Lužarji;Velike Lašče
Luže;Šenčur
Mače;Preddvor
Mačji Dol;Trebnje
Mački;Velike Lašče
Mačkovci;Puconci
Mačkovec;Kočevje
Mačkovec;Laško
Mačkovec;Trebnje
Mačkovec Pri Dvoru;Žužemberk
Mačkovec Pri Suhorju;Metlika
Mačkovec Pri Škocjanu;Škocjan
Magolnik;Litija
Magozd;Kobarid
Mahneti;Cerknica
Mahniči;Sežana
Mahovci;Apače
Mahovnik;Kočevje
Majcni;Sežana
Majski Vrh;Videm
Majšperk;Majšperk
Makole;Makole
Makoše;Ribnica
Mala Brda;Postojna
Mala Breza;Laško
Mala Bukovica;Ilirska Bistrica
Mala Cikava;Novo Mesto
Mala Dobrava;Ivančna Gorica
Mala Dolina;Brežice
Mala Goba;Litija
Mala Gora;Kočevje
Mala Gora;Zreče
Mala Goričica;Ivančna Gorica
Mala Hubajnica;Sevnica
Mala Ilova Gora;Grosuplje
Mala Kostrevnica;Šmartno Pri Litiji
Mala Lahinja;Črnomelj
Mala Lašna;Lukovica
Mala Ligojna;Vrhnika
Mala Loka;Domžale
Mala Loka;Trebnje
Mala Loka Pri Višnji Gori;Grosuplje
Mala Mislinja;Mislinja
Mala Nedelja;Ljutomer
Mala Pirešica;Žalec
Mala Polana;Velika Polana
Mala Pristava;Pivka
Mala Pristava;Šmarje Pri Jelšah
Mala Račna;Grosuplje
Mala Sela;Črnomelj
Mala Sela;Litija
Mala Slevica;Velike Lašče
Mala Stara Vas;Grosuplje
Mala Strmica;Šmarješke Toplice
Mala Ševnica;Trebnje
Mala Štanga;Šmartno Pri Litiji
Mala Varnica;Videm
Mala Vas;Dobrepolje
Mala Vas;Gorišnica
Mala Vas Pri Grosupljem;Grosuplje
Mala Vas Pri Ormožu;Sveti Tomaž
Malahorna;Oplotnica
Male Braslovče;Braslovče
Male Brusnice;Novo Mesto
Male Češnjice;Ivančna Gorica
Male Dole;Vojnik
Male Dole Pri Stehanji Vasi;Trebnje
Male Dole Pri Temenici;Ivančna Gorica
Male Grahovše;Laško
Male Kompolje;Ivančna Gorica
Male Lašče;Velike Lašče
Male Lese;Ivančna Gorica
Male Lipljene;Grosuplje
Male Loče;Ilirska Bistrica
Male Pece;Ivančna Gorica
Male Poljane;Škocjan
Male Rebrce;Ivančna Gorica
Male Rodne;Rogaška Slatina
Male Vinice;Sodražica
Male Vodenice;Kostanjevica Na Krki
Male Vrhe;Ivančna Gorica
Male Žablje;Ajdovščina
Malečnik;Maribor
Malence;Kostanjevica Na Krki
Malenska Vas;Mirna Peč
Malenski Vrh;Gorenja Vas-Poljane
Mali Ban;Šentjernej
Mali Brebrovnik;Ormož
Mali Breg;Slovenske Konjice
Mali Cerovec;Novo Mesto
Mali Cirnik;Brežice
Mali Cirnik Pri Šentjanžu;Šentrupert
Mali Dol;Komen
Mali Dol;Pesnica
Mali Gaber;Trebnje
Mali Hrib;Kamnik
Mali Jelnik;Lukovica
Mali Kal;Ivančna Gorica
Mali Kal;Mirna Peč
Mali Kamen;Krško
Mali Konec;Grosuplje
Mali Koren;Krško
Mali Korinj;Ivančna Gorica
Mali Kum;Zagorje Ob Savi
Mali Lipoglav;Ljubljana
Mali Lipovec;Žužemberk
Mali Ločnik;Velike Lašče
Mali Log;Loški Potok
Mali Moravščak;Sveti Jurij Ob Ščavnici
Mali Nerajec;Črnomelj
Mali Obrež;Brežice
Mali Okič;Cirkulane
Mali Orehek;Novo Mesto
Mali Osolnik;Velike Lašče
Mali Otok;Postojna
Mali Podljuben;Novo Mesto
Mali Podlog;Krško
Mali Rakitovec;Kamnik
Mali Rigelj;Dolenjske Toplice
Mali Slatnik;Novo Mesto
Mali Trn;Krško
Mali Videm;Trebnje
Mali Vrh;Brežice
Mali Vrh;Mirna Peč
Mali Vrh;Šmartno Ob Paki
Mali Vrh Pri Prežganju;Ljubljana
Mali Vrh Pri Šmarju;Grosuplje
Malija;Izola
Maline;Mokronog-Trebelno
Maline Pri Štrekljevcu;Semič
Malinišče;Osilnica
Malkovec;Sevnica
Malna;Sveti Jurij V Slov. Goricah
Malni;Bloke
Malo Črnelo;Ivančna Gorica
Malo Globoko;Ivančna Gorica
Malo Hudo;Ivančna Gorica
Malo Lešče;Metlika
Malo Lipje;Žužemberk
Malo Mlačevo;Grosuplje
Malo Mraševo;Krško
Malo Naklo;Naklo
Malo Polje;Ajdovščina
Malo Tinje;Slovenska Bistrica
Malo Trebeljevo;Ljubljana
Malo Ubeljsko;Postojna
Malovše;Ajdovščina
Mamolj;Litija
Manče;Vipava
Manžan;Koper
Marezige;Koper
Maribor;Maribor
Marija Dobje;Šentjur
Marija Gradec;Laško
Marija Reka;Prebold
Marijina Vas;Laško
Marinča Vas;Ivančna Gorica
Marinčev Grič;Vrhnika
Marinčki;Velike Lašče
Marindol;Črnomelj
Marjeta Na Dravskem Polju;Starše
Markečica;Oplotnica
Markišavci;Murska Sobota
Markovci;Markovci
Markovci;Šalovci
Markovec;Loška Dolina
Markovo;Kamnik
Markovščina;Hrpelje-Kozina
Marno;Hrastnik
Marolče;Ribnica
Maršiči;Koper
Maršiči;Ribnica
Martinj Vrh;Železniki
Martinja Vas;Trebnje
Martinja Vas Pri Mokronogu;Mokronog-Trebelno
Martinjak;Cerknica
Martinje;Gornji Petrovci
Martjanci;Moravske Toplice
Masore;Idrija
Mašelj;Semič
Matavun;Divača
Matena;Ig
Matenja Vas;Postojna
Materija;Hrpelje-Kozina
Matjaševci;Kuzma
Matke;Prebold
Mavčiče;Kranj
Mavrc;Kostel
Mavrlen;Črnomelj
Medana;Brda
Medija;Zagorje Ob Savi
Medlog;Celje
Medno;Ljubljana
Medribnik;Cirkulane
Medvedce;Majšperk
Medvedica;Grosuplje
Medvedje Brdo;Logatec
Medvedjek;Trebnje
Medvedjek;Velike Lašče
Medvode;Medvode
Meglenik;Trebnje
Meja;Kranj
Meje;Cirkulane
Mekinje;Kamnik
Mekinje Nad Stično;Ivančna Gorica
Mekotnjak;Ljutomer
Melanjski Vrh;Radenci
Mele;Gornja Radgona
Melinci;Beltinci
Meliše;Ljubno
Meljski Hrib;Maribor
Mengeš;Mengeš
Meniška Vas;Dolenjske Toplice
Merče;Sežana
Mereče;Ilirska Bistrica
Mestinje;Šmarje Pri Jelšah
Mestni Vrh;Ptuj
Metava;Maribor
Metlika;Metlika
Metnaj;Ivančna Gorica
Metni Vrh;Sevnica
Metulje;Bloke
Mevce;Ivančna Gorica
Mevkuž;Gorje
Mezgovci;Sveti Tomaž
Mezgovci Ob Pesnici;Dornava
Mežica;Mežica
Migojnice;Žalec
Migolica;Mirna
Migolska Gora;Mirna
Mihalovci;Ormož
Mihalovec;Brežice
Mihelca;Šmartno Pri Litiji
Mihele;Hrpelje-Kozina
Mihelja Vas;Črnomelj
Mihovce;Kidričevo
Mihovci Pri Vel. Nedelji;Ormož
Mihovec;Novo Mesto
Mihovica;Šentjernej
Mihovo;Šentjernej
Miklarji;Črnomelj
Miklavž Na Dravskem Polju;Miklavž Na Dravskem Polju
Miklavž Pri Ormožu;Ormož
Miklavž Pri Taboru;Tabor
Mikote;Krško
Milava;Cerknica
Miliči;Črnomelj
Milje;Šenčur
Miren;Miren-Kostanjevica
Mirke;Vrhnika
Mirna;Mirna
Mirna Peč;Mirna Peč
Mirna Vas;Mokronog-Trebelno
Mirtoviči;Osilnica
Misliče;Divača
Mislinja;Mislinja
Mislinjska Dobrava;Slovenj Gradec
Mišače;Radovljica
Mišji Dol;Šmartno Pri Litiji
Mizni Dol;Vrhnika
Mlače;Slovenske Konjice
Mladje;Krško
Mlajtinci;Moravske Toplice
Mlaka;Komenda
Mlaka;Radovljica
Mlaka Nad Lušo;Gorenja Vas-Poljane
Mlaka Pri Kočevju;Kočevje
Mlaka Pri Kočevski Reki;Kočevje
Mlaka Pri Kranju;Kranj
Mlake;Metlika
Mlake;Muta
Mleščevo;Ivančna Gorica
Mlinsko;Kobarid
Mlinše;Zagorje Ob Savi
Močila;Kanal
Močile;Črnomelj
Močilno;Radeče
Močle;Šmarje Pri Jelšah
Močna;Lenart
Močunigi;Koper
Močvirje;Škocjan
Modraže;Poljčane
Modrej;Tolmin
Modrejce;Tolmin
Modrič;Laško
Modrič;Slovenska Bistrica
